,Tweets
13,"@ukmav @SticksAndBr1cks How does it degrade it? It strengthens it. Some humans don’t care about animals at all, but being vegan/reducing meat &amp; animal byproduct in our diet is beneficial to humans too. It’s a great argument for convincing people to be vegan. I don’t understand why you’re upset at me lol"
14,I just found out you gotta mix in keto and vegan diet to get the full benefits
15,@thiccmilhouse Thing is I could attempt it but that doesn't mean I could stick to a vegan diet 24/7 vegetarian I could but I know I'd struggle with vegan especially being allergic to soy too along with my lack of colon idk why some vegans need to make ableist type tweets like really lmao
16,"@mckinlay_liz Well done Liz, you can still have pasta, bread and rice but make sure it’s brown that way you get the goodness of the fibre, I lost 3 stone in 3 months when I first went vegan when I gave up white food and animal products, hardly put any of it back &amp; my diet is all carbs now 😊"
17,@hatttiegladwell Im also allergic to soy so makes things harder when it comes to vegan products but vegetarian yes. She sounds ableist and classist some people truly can't afford to stick to a vegan diet. Dairy alternatives are expensive as shit lmao
18,@hatttiegladwell Thing is I could go vegan but that doesn't mean I could 100% stick to a vegan diet 24/7 (vegetarian I could) it is v hard when you have half your digestive system missing. Obviously people can make changes but to say no health issue stops you being vegan is ableist as fuck lmao
19,Tired of ppl assuming that being on a vegetarian/vegan diet turns you into a skeleton🙄💀
20,@koresteban Sustainable hunting and animal farming practices feed people far better than a universal vegan diet and the sooner you admit that the better. But have fun with your plastic fake leather that's wrecking shit faster than someone taking one (1) deer home to their family.
21,"Seitan and Vegan IBS Seitan is a popular meat substitute for those on a plant based or vegan diet. However, if you https://t.co/YjuYiW64O4"
22,"@Woman4W I'm vegan, and I had that same feeling when I did the Eat To Live diet. My jaw could be literally sore from chewing, but I was still ravenous. Definitely need some protein, all those healthy carbs get run thru very quickly."
23,"@BannedTofuWiz very true!! if a person is trying their hardest to be vegan but is restricted by health, finance etc they're still more vegan than people who've made veganism looks like diet culture"
24,"@Calisteen14 @avendryl @KyleKulinski Even if you are looking at it pessimistically and assuming only a small population would change their diet, the vegan argument is an individual change rather than government and therefore is hardly in the same conversation, it is not a distraction."
25,Atkins Diet Vegan Cookbook  Live Healthy and Start Your Vegan Diet Plan to Lose Weight  Jamie F https://t.co/17xhzHATGQ https://t.co/NihhlMPGLJ
26,REAL TRUTH MEMBERSHIP CLUB. What if we told you that most of your health issues can be cured with the right information and a whole-food healthy diet. ✨ Learn more from our MEMBERSHIP CLUB. #Vegan #Plantbased #Plantbaseddiet #Organic https://t.co/Wi6jCStJrY
27,@ShaneSudia @UnbiasedKatie But I don't think someone should put their dog on a vegetarian or vegan diet unless they need to
28,"@DukeTheBBDuck Better complexion but has probably lost 10lbs since BB20. It's probably partially why he hasn't been performing as well in comps.
Depending on if he's doing the vegan diet properly or not in the house, he may not be getting sufficient protein for good mental health."
29,"Vegetarian and vegan diet: five things for over-65s to consider when switching to a plant-based diet |
#Food #health #nutrition #cooking #eating |
https://t.co/dA5VmAjoyA"
30,"@zipthevegan There are objective benefits to even a junk food vegan diet (applying the ethic of veganism to your diet) over the Standard American Diet. 0 exogenous cholesterol, 95% of persistent environmental pollutants in the averahe diet come from animal fat etc."
31,@ConsciousAliens @LauraHillsLamb @FCRNetwork Hahahaha!!! I would like to meet a vegan who knows about this subject. Thing is I respect vegans who try and support sustainable crop ag but there aren’t many and even so the diet is still inferior and the crops don’t sustain through winter so back to monoculture. 🤷‍♀️
32,"@icalculatedrisk @PATIMA_BLUSH I like people who take chances/ dnt follow the rule book, but so far my biggest contention is the kids with no rules &amp; forced vegan diet. They are both literally impeding on the safety of the crew. I’m a 90% vegetarian 10% pescatarian &amp; would never expect others not to eat meat."
33,Three people will be selected from the top meat-loving states in the U.S. https://t.co/QTqf7XUsy2 https://t.co/tZ7mgJs7mp
34,"I need vegan recipes for picky eaters! I have to cut meat, foods high in sugar and salt completely out of my diet... I also need to gain weight😭 helppp pls.."
35,"#Vegan chicken is an oxymoron. Stop valorising meat. Use appropriate labels pls: seitan or whatever it is. I totally appreciate it's aimed at folks trying to transition frm a meat-based diet, but this is ethically questionable. Marketing doesn't mean evacuating ethics altogether! https://t.co/0bggKbt7h0"
36,@ConsciousAliens @LauraHillsLamb @FCRNetwork If I killed as many animals as vegans for no reason I’d stop eating. You kill 25 times more than me for your fad diet for losers at life. Go cult vegan! https://t.co/Vba9BnpXCy https://t.co/x29AJUezjv
37,"@Mike35488192 @TrumpJew Vegan diet, probably."
38,"@jayrayner1 @Camberwellarms According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
39,"@MannGeorgia According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
40,@AConcernedCath1 @Honestjane69 they're looking for an excuse to ban meat and make everyone starve themselves with a vegan DIEt: https://t.co/WwCWJRN43b
41,@ElenaSgarbossa @Mia09195409 @Veganella_ @NanciGuestRDPhD Yeah I’m pretty sure lots of people MILLIONS who are dropping like flies from the fad diet are pretty east to contact and consult. You actually debunked your own statement because instead of naming the minuscule amount of vegan Doctors why not name the millions of non vegan docs?
42,"@PeterEgan6 According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
43,I do a good job of keeping a vegan diet 90%-95% of them time. But that might be more like 80% of the time during theHalloween season. No way I’m passing up bag of bones hot Cheetos. https://t.co/UUncneVF8M
44,"@a_separate_sky Wow, 👍You do it for the environment, right. But do you like it, is it tasty or do you miss certain food?
I must follow a strict diet for my health, so eating vegan is for me impossible. But I only eat twice a week a small portion of meat"
45,"@AviBittMD he just wishes it to be true and adheres to it, that veganism is a magic shaman diet full of magic where he can tap from or something :D 
Vegan eating is healthy but please ditch the power ranger claims everyone ;)"
46,Oh no you guys I offended the vegan community bc I mentioned eating sustainability caught fish 🙄🙄🙄🙄 literally go worry about your own diet and let others worry ab theirs (aka fuck off and out of my busines!!)
47,"@lesbiantraitor Then you can be vegan! A whole foods plant based diet is very cheap. 

For example, on average a pound of chicken costs $4. Beans are $1.50 per pound, tofu is at $2 per pound. You can do the research online or at your local grocery store."
48,@WilliamMcNall18 @ConceptualJames @BenjaminABoyce Vegan diet?
49,@HairyNothrotita Who hates vegans?!?! Talk about the most innocuous crowd. Are you sure? I’ve gone that way slowly as it’s quite healthy. You wanna eat meat? Go for it. You wanna be vegan? Right on! You’re watching the fringes girl. No one normal hates a person on the basis of their diet.
50,Plant-based diet can fight climate change - UN https://t.co/gMC4tU3vbJ #vegan #climatechange #climate #environment #climatecrisis
51,Plant-based diet can fight climate change - UN https://t.co/blpwXPotHM #vegan
52,"@upstatefederlst @CoderInCrisis @MorlockP If we allow for some shenanigans (as one would expect within any organization of people) and self-servingness (ibid), I think it's rather remarkable how Fast Food has adapted itself to what the market demanded. Diet sodas, low fat, low carb, vegan, healthy alternatives, etc."
53,"@vestebanl06 nah fuck her I'll curb stomp her she be screaming animal abuse but put her dogs on a ""vegan"" diet... MAKE IT MAKE SENSE"
54,"Any ladies out there with #PCOS, have you found a veggie/vegan diet to be helpful?"
55,i’m trying to add more vegan options into my diet... idk where to shop tho 😖
56,"Everybody talkin bout ""muuh go vegan, muuh eat meat"" 

Bitch, I'm on strict cum diet"
57,@thenewdarling every member a vegan apart from the drummer whose diet seems to consist solely of red bull
58,"Drinking extracted juices are a great way to add a boost of nutrients &amp; vitamins to a balanced diet. And they still have soluble fiber in them.  
#detoxjuice #juicingforhealth #fitlife #nutrition #vegan #plantbaseddiet #juicingrecipes #nutritiontips #slowjuicer https://t.co/ejzzch54AK"
59,If you are ready to start getting in the shape of your dreams now... then you need to know this delicious recipes  https://t.co/96HmSXDiQH #loseweight
60,"#SweatWithSheila 🔥Healthy #Lunch 🥗So easy! What’s holding You Back🤷🏽‍♀️😉

#nutrition #fitness #health #healthylifestyle #healthy #healthyfood #weightloss #diet #motivation #workout #wellness #fit #food #lifestyle #fitnessmotivation #healthyeating #vegan #fitfam #protein #exercise https://t.co/APhpIlpwzv"
61,@2013Boodicca @NevilleBamshoo @LuckyHeronSay The facts prove a healthy vegan diet can reverse or reduce health conditions that will aid people's quality of life. Vegan for ethics &amp; health. It's only right to spread the good news. https://t.co/bKd60QYMNV
62,considering getting these vegan supps that sophia esperanza posted on her story. getting proper the omegas in your diet is key to being a healthy vegan!! https://t.co/QYb5pPbGFT
63,My doe Jesse getting his vegan diet https://t.co/86edDbGgAZ
64,@NevilleBamshoo @princessomi1995 @LuckyHeronSay Does a vegan diet cause people to imagine that everyone is lying to them? Are there any studies on THAT particular psychosis?
65,@Sblahov Doctor tried to have me do a full vegan diet and then had to trash it because I lost way too much weight and brain fog got so much worse.... turns my body can’t metabolize a full vegan diet correctly... confused the heck out of him
66,"Cutting red meat out of my diet is arguably one of the best things I’ve ever done for myself. I initially thought my vegan friends were full of shit, but here I am months later fully aboard that train. 💜"
67,"@NanciGuestRDPhD @abe_vegan @Veganella_ Just name me sustainable farms you support. You can’t follow your own money and footprint if you have no clue who they are dimwit. Vegans and their excuses for shitty diet, life, and agriculture practices. Truly pathetic"
68,"@Woman4W @PhilomenaRumple Fair play for trying. I was on a vegan diet for 5 days last week. Honestly felt amazing. Slept better, felt better had more energy etc. Back eating crap these last few days and my body not appreciating it. Gonna try again tomorrow😬"
69,"@NevilleBamshoo @princessomi1995 @LuckyHeronSay I've been an omnivore for 68 years &amp; I'm alive &amp; well too. Thanks.
I do not force my diet on you but vegans always try to force theirs on me. Why is that? Does a vegan diet create fascistic tendencies? Have there been any studies?"
70,"@Lando952 @UnbiasedKatie As stupid as journalist Katie is I’m gonna call out this comment and say, dogs are not being slowly killed by eating a vegan diet. That is a 100% false claim. Some dogs actually go on a vegan diet for health benefits."
71,"@Mia09195409 @EOMovement @Veganella_ @NanciGuestRDPhD No one has notified of the dangers of the vegan diet to the growing body of vegan physicians? ⤵️

https://t.co/y1hZzDjxAi"
72,"@TheVeganLeft @JessicaXDiamond @alex_brandsen The thing is, 'everyone can go vegan' should be a completely uncontroversial statement when you understand that veganism is not a diet but you just know that ableist vegans don't see it that way"
73,@ImpossibleFoods @Suzykw1 For me.. someone who loved eating meat. Impossible is the only sustainable way for me to eat a primarily vegan diet. It worked for me. Though I can't wait for more impossible products in the future. :)
74,"@4AnimalJustice @carriesymonds According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
75,"@RusticStoat @carriesymonds According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
76,"@SteB777 @carriesymonds According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
77,"@HBray3 @carriesymonds According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
78,"@carriesymonds According to the University of Oxford:
Going #Vegan is the single biggest thing anyone of us can do to halt #climatechange, reverse deforestation, preserve biodiversity, stop species loss and save the Planet.
#extinctionthefacts 
#amazon #amazonfires
https://t.co/6bZjWVj33g"
79,@RobertCheeke appreciate the  vegan approach to animal welfare and busting protein myth (source and grams required per day) but man I wish fitness athletes come clean about rampant PED use which delivers superior results regardless of diet
80,"@vickyveganpng @Sagelobu Not everyone can be vegan. I support vegans. I was for a bit, but then my health tanked and I NEED meat in my diet. Please examine the ableism behind this."
81,"With my heart condition I’m supposed to eat incredibly healthy. Which has convinced me to want to slowly add more vegan options in to my diet, but fuck man, vegan replacements for certain foods are so expensive and it makes me sad. Even fruits and vegetables are expensive :("
82,"@vegan_morgue @UnbiasedKatie Because meat is food, it is accepted by the body, it has proteins, and if we leave these animals in the wild, they will die anyway, simply because they are food. It's how the world works, it's how biology works. You may well choose to have a vegan diet, but you cannot simply+"
83,i try to go vegan but i fucking give up. don’t some ppl actually need meat in their diet. https://t.co/qpCR6H6AR3
84,"@Bee_Zelda I'm fully vegan, both in diet and lifestyle, but I'm working on reducing my ecological footprint in other ways (mainly amount of consumption of Stuff) and avoiding other unethically sourced items (like palm oil, which is technically vegan)."
85,@LetheaMosa so this vegan diet is serious huh
86,Are you peanut butter lover who eats a vegan diet? Check out this round up of 8 must-have products! https://t.co/Qme9fUkkiT
87,"I’m vegan and hate lettuce. Folks trying to be accommodating usually make a salad for me, and I eat it because I appreciate the fact that they took my diet consideration. It gives me a stomachache though. 🥬 🥗 https://t.co/sKmjLlabd0"
88,"somehow i inspired my mom and her husband (both mexicans whose primary diet had always consisted of meat and dairy) towards a vegan lifestyle, my power ✨😌✨"
89,"@abe_vegan @Veganella_ @NanciGuestRDPhD https://t.co/tcqZH4oROU

https://t.co/y7s9PYXF7p

https://t.co/ErcLmM5Xii

https://t.co/2FffG3eqvv"
90,"We hear that a plant based diet is better for your health, and it may be, if done right! Here are some tips for going plant-based in a healthy way. #vegan #vegetarian #plantbased #plantbaseddiet https://t.co/ALX0pLLBKZ https://t.co/CNiRalGiBe"
91,"@__shakinah I admire your desire and determination, and wish I could do the same. I keep eggs and cheese in my diet because I have so many food allergies, otherwise I would be vegan. Best wishes!"
92,"@paulatwal @alanpater @drvox That's still not an argument AGAINST veganism. You can be malnourished on any ""diet"" and I put diet in quotes because being vegan isn't a diet, but an ethical stance, and all this bickering about ""malnutrition"" and ""mental health"" while important, distracts from the core issue."
93,"@kenjaques @vegsource Only a little bit of bacteria, then, Ken? What if you knew that meatpacking plants killed off 200 of its workers and has not even been tested for covid? Just wondering. I feel sorry for you that you haven't learned about a #plantbased #vegan diet. The meat will shoot you first :) https://t.co/DYfiUvzfAF"
94,"going to one of these changed my perspective on how I see meat, I see a once living animal that I care for like I care for my pets, not everyone can sustain a vegan diet but if you’re in the means to do so I highly recommend going cruelty free https://t.co/K7uBZiynvK"
95,watching this how to lose weight on a vegan diet video and this girl is eating nice cream with THREE bananas in it for breakfast 😳😳😳😳😳😳😳😳 pls don’t tell me i need to eat more
96,"@f1uctuate I don’t even tell ppl I’m vegetarian bc I’ve been mocked my whole life for it 🤷🏼‍♀️ my HS principal refused to even consider a vegan option for school lunch bc “my diet was my personal choice”, so eating meat is... not a personal choice?"
97,"@alexandrakuri A friend of mine was the same and was told by her vegan colleague “Oh, that’s because you weren’t taking the necessary supplements.” But to me, a healthy diet is not really one where you need to knock back a fistful of vitamins every day in order not to feel like death."
98,"@ItsJustMoxie i've been a vegetarian for years until recently, as i realized that i can no longer financially nor practically sustain that diet. vegan and vegetarian food costs a lot and isn't as easy to make. people need to realize that not everyone can be vegan"
99,"@RiverSaysBlerg Also, 'superbly healthy' is relative. As someone coping with an ED, I can say that what matters is a person is eating &amp; eating enough.
I mix vegan food with other vegetarian &amp; omnivorous things I cook as part of a robust diet. Haters can go away."
100,"@Debbie8190 Personally speaking I had some issues with weakness when I changed diet (cold turkey) because of psychological issues, people on the internet kept saying the most insane stuff about eating meat and it did affect me in my first month. I'm 5 years vegan now."
101,@JackPosobiec These ding dongs do know warming is better than cooling 🥶 Their vegan diet will cease to grow in no time✌️
102,"@poppyoa Does going vegan make people feel healthier, or does eating more fruit/vegetables and plant based food instead of chicken nuggets and burgers make people feel better? You can feel a lot better still eating meat/eggs if your diets balanced, but diet doesn't fix every problem 😂🤔"
103,"@ConsciousAliens I'm saying vegan isn't a diet, &amp; there's no requirement that we consume the products of animal exploitation in order to meet our nutritional needs, or otherwise

All essential consumed nutrients are found in plants"
104,@ItsJustMoxie @RealityBent I moved in with a vegan and had to really drill it into her that I had an eating disorder so I wasn't easy to just change my diet like that. I was severely deficient in protein and part of my recovery was eating more meat.
105,"@__shakinah Research indicates 70% of vegans quit.
Some become 'carnivore' activists because their experiences were so bad.
Others manage a vegan diet long term.
Good luck."
106,"Not to mention, that people can't just switch to a diet that isn't economically viable for them. Vegan diets are expensive. It's just not as simple as switching how you eat. AND, there are people that simply can't live on that diet anyway due to nutritional issues."
107,"Elena laughed softly and held the kittens in her arms and rose on her toes kissing his lips softly. 
“they’re so adorable i love them. umm his vegan diet better stay with Bambi blood. he’ll have me to deal with”. she promised, as if she could stop a century old vampire. https://t.co/Krt5XrPkHX"
108,@VAS6323 That's what a vegan diet does for you.
109,@EthicalHour Eat less meat! 🥕🥗🍅🌽 Check out article @carbonbrief which explains that the climate impact of plant-based foods is typically 10 -50 times smaller than that of animal products ➡️ switching from a largely meat-based diet to a veggie or vegan diet could help to reduce emissions.
110,@cailleachsplaid I have wonderful vegan friends but I’ve also met plenty who have this mindset of 100% vegan or nothing bc someone cutting 75% of the animal products out of their diet is apparently not better than cutting none at all
111,"@Sblahov As a Vegan who cooks food at home, I'm gonna do some research on the low residue diet and see if I can get some good recipes that focus on that added into my recipe selection."
112,"I hate going on to Facebook &amp; seeing women in my family posting about ""new diet😍"" ""vegan keto program 😘"" ""intense low carb fasting 2 month diet🤗"" ""starve your self more than you already do you fat fucking whore, omg guys this diet is life changing...xoxo🤩🤩"""
113,"@poopy_rose And like I said, not everyone has the time, money, and resources to provide for their families vegan, as they would on an omnivore diet. I’m thankful and privileged enough that my mother can still cook me Colombian food, vegan style. Not everyone in ever culture can do that"
114,"trying this vegan diet has been getting more easy each week, but boy do I miss eating junk food 😂"
115,"One brain cell tells me to try the kp0p diet, the other one tells me to go vegan 😥"
116,"@imteddybless Can't believe a Twitter random has finally cured my 28 years of chronic illness when doctors couldn't, turns out that going vegan is all I needed to *checks notes* cure my inability to digest half the staples of a vegan diet"
117,@sonic_womb @EthicalHour Why care what they think at all - I said my body - my standards - my life .. I’m not asking you guys to go vegan - I’m doing it for the future of my children #ethicalhour  I have a good natreopath &amp; I know how to do my diet x job done
118,Doctors not taught to discuss diet and nutrition with patients: https://t.co/qpoNaCjIAI Doctors admit and acknowledge that they do not know and study #nutrition in #medschool https://t.co/QtkY4W0xDj
119,"- eating a whole food plant based diet can help with a variety of health problems
- veganism is not a diet, but a stance on anti-oppression. You don’t have to eat a whole food plant based diet to be vegan, but you can if you choose to.
Fixed it! https://t.co/5RuJgbZSG3"
120,"Veganism is not just about the diet, it’s the way to live☝🏻

We’re happy to build the community and the business ecosystem together with such professionals as Tomris Turker!

#vegan #plantbased #vegannation #veganbusiness 

https://t.co/8veLSKWHid"
121,"Really tho. This vegan diet was supposed to cut down on me being sick all the time, or at least not make it so rough. So far, it’s NOT working 😭"
122,"Yes prepackaged meat and cheese alternatives are expensive due to gentrification of sustainable and accessible foods (tofu, tempeh), and the society we live in capitalizing on a “trendy diet”. But prepackaged alternatives are not essential to a vegan diet or lifestyle."
123,"What we eat affects everyone 🌎

#climate #environment #deforestation #biodiversity #wildlife #ClimateCrisis #PlantForward #diet #ItsTheDiet #LiveVegan #PrimumNonNocere #ShareThePlanet #NonViolence #vegan https://t.co/2V8KfodP71"
124,@CaitlinKean thinking about starting heather's refined vegan diet https://t.co/llzrqmT8Ku
125,"I do like to make things difficult for myself:

🌱Following a macro based diet
🌱Which is vegan
🌱During a pandemic
🌱Where I cook all of my meals
🌱And create new meal plans each week around a veggie box that's different each time

Hahaha haha (manic laughter)
🤦🏻‍♀️ https://t.co/1D0SbFNbCO"
126,@SeanLVT Not a vegan myself but every diet can be toxic if applied improperly. I can’t believe the diet where you only eat meat and fat stuff is not toxic...
127,"I bought vegan burgers for the first time and I'm gonna try eating them with a stir fry veggie base.

I'm trying to move more toward a vegetarian diet as much as possible because red meat and me no longer mix well and as much as I love a good steak... my stomach does not."
128,"They think a vegan diet will save the planet and uphold capitalist colonialism uncritically, often disrespecting indigenous people.

Along these same lines, these vegans usually don't actually check if their products and food are sustainable and humane, so long as their vegan."
129,"When I say this, I generally mean vegans whose brand of veganism is white supremacist. People who are largely in denial about their own level of privilege &amp; shout down others who don't have the same access to a vegan diet as they do (largely poor, disabled and colonized people)."
130,"Sad but not the case in the UK!!
Once the elderly and others with preexisting diseases are dead the situation will improve. 
The disease is cleaning up the world 
Before you criticise my view.  I am 73 but keeping healthy with a Vegan diet and I survived cancer 11 years ago https://t.co/rl5M3pPCYw"
131,"I’ve been substituting things in my diet for a while now, but am getting more serious about eating vegan (having been vegetarian for 25 years) 

So...any great vegan food recommendations for me? https://t.co/xk2pWP0rnJ"
132,@_Gravity_Man Some say that one feels better in the short run on a vegan diet...it can cleanse the body ...but that it does not sustain it in the long run. Need cholesterol for your brain. Our brains have a lot of cholesterol. I think telling us not to have fat is weakening our brains.
133,"don’t have an eating disorder. But many people do. This and a multitude of other factors prevent people from adhering to this DIET. So please stop being so naive, step off your pedestal, and go ahead and look at some of the vegan food you’re eating. Let’s see how ethical that"
134,"I support people choosing whatever diet makes them happy, but its true that everyone going vegan still wouldnt stop climate change."
135,@ExtinctionR I went plantbased (eating a vegan's diet) for the environment last year. Now I'm vegan and no regrets at all from the change. I'm loving what I eat even more now.
136,"I really had no idea the food co-op had literally every single diet/ vegan food item I’ve been ordering online for years now, I’m shook."
137,"How to eat well and stay healthy on a vegan diet https://t.co/zdWVwiqyk1 via @goodfoodAU Mon, 14 Sep 2020."
138,"@JessicaXDiamond I was a vegetarian for 4 years until I was diagnosed with an autoimmune disease, anemia and depression and I just didn't have the energy to keep up with that kind of diet. Being vegan takes a lot of time and effort, because you really have to watch what you eat to stay healthy+"
139,"@deNutrients @Fernand31094744 @DrPaulMason The best thread I ever saw about protein in a vegan diet was: ""Don't be vegan""."
140,@UrbanCavemanYYC @EOMovement Is your family vegan friendly? ( please reply accurately not like now where I'm asking you for facts and you are telling me what your diet is )
141,@SLAPNTICKLE3 @Ed_Miliband @U_didnt_saythat Vegan burger and chips with a Diet Coke.
142,"I hate it when people do this, literally gives vegans and veggies a bad name lol 😭 a lot of people don’t go vegan due to eating disorders as it restricts your diet so much and can be triggering https://t.co/BvdWbvkpAJ"
143,"@JessicaXDiamond I have a restricted diet (ARFID, an eating disorder) because of my autism/mental illness. I eat less than 10 meals on a regular basis. If I had to become vegan, I would starve. There are times I live off of Ensure, which I don't think is vegan."
144,The only sad reality I face now is that my cats/dogs/ferrets all need animal protein to live. And it must come from somewhere. That is no question. You can’t feed vegan diet to those animals. If you think so you just shouldn’t have carnivorous animals.
145,"I’m going to try eating more healthily
Veganism isn’t a diet, you can eat healthily though so...

I’m gonna start eating more fruits and veg and portioning as well as trying avocado quinoa etc and making different meals.

More pictures also yay!!
#GoVegan #Vegan #Veganational"
146,"@WhatWarwick @HegKong Yeah, that sounds horrible. It doesn't seem that a vegan should be able to defend the industrial food system as it relates to a non-meat diet. Maybe if they were growing their own food we would be having a different conversation."
147,Guess what. You can be fat and be vegan because veganism isn’t a diet. HELLLOOO
148,"@EOMovement @GageCan @Veganella_ @NanciGuestRDPhD You were never vegan

At best you were a on a plant based diet while having no clue how to meet your nutritional needs since you've only ever stolen 2nd hand nutrients from the dead bodies of the animals who got them 1st hand from plants https://t.co/UTQX88tYB1"
149,Vegetarian and vegan diet: Five things to consider when switching to a plant-based diet https://t.co/mGrPOQdHAX
150,"@djhutch74 PSA: The biggest thing you can do as an individual to address climate change is eat a vegan diet. Animal agriculture is the second largest contributor to human-made greenhouse gas emissions and is a leading cause of deforestation, water and air pollution, and biodiversity loss."
151,@exilelogan people say this as if eating disorders dont exist &amp; as if people with bad mental health can manage following such a restricted diet - coming from a vegan
152,@mamachell Sounds like someone needs a VEGAN diet to settle her own souls before she start tek on other people.
153,Five tips for transitioning to a plant-based diet when you're over 65. https://t.co/E6SSiaDkm9
154,Y’all are getting on my never ending nerves stop starving and murdering you babies/toddlers with your vegan diet. Like wtf why were their just 8 cases today about this 🥺
155,Vegan 🌱 plant based diet
156,@Lisatheeditor Oh yum. It will naturally go back to normal once I’m back to my vegan diet. During the first 3 months of COVID it was impossible ... and then I got lazy. Hamburgers are yummy.
157,"@EOMovement @GageCan @Veganella_ @NanciGuestRDPhD ""Millions of sick vegans""? Where do you get this data? And don't waste my time linking to an article or 2 about irresponsible parents feeding their children a garbage diet. Who specifically are the vegan health professionals and what are they telling their patients? Details, pls."
158,@poppyoa Can’t fathom this tweet. Like yeah a healthy diet helps mental and physical health but healthy for a vegan isn’t healthy for everyone
159,"@RadioShannon I guess 🐱BOB , 🐱BENJI &amp; 🐱DIXIE are observing a Fast and decided to go  for Vegan Diet .They🐈🐈🐈 are on some detoxification treatment recommend by their Kitten Religious Mentor. 🤣😂🤣😉 https://t.co/5owtxIW0TJ"
160,I might have to be Vegan &amp; Gluten Free diet nothing is working she just gets inflamed so easily.
161,"""NLE Choppa Wants Fans To Skip The Travis Scott Meal In Favor Of A Vegan Diet"" #tastyfix #foodies #cooking https://t.co/LA5Rt4zTgY"
162,"United Nations:
A #Plantbased diet can fight #climatechange.
Go #Vegan. 🌱
Before it's too late. 
https://t.co/jwgz7NimRc"
163,"I had to unfollow that youngin’ Your diet consist mostly of FLOUR when you were “vegan” and now you’re eating meat, you talk shit. I don’t get it, just say I wanted meat again and be done with it.  Don’t act like everyone who doesn’t isn’t healthy. Most ppl have enough common"
